order_id,customer_name,product,quantity,unit_price,order_date,region,total_price,month,price_category
1,Diana,Tablet,1.0,500.0,2024-01-20,South,500.0,January,Medium
2,Eve,Laptop,1.0,500.0,2024-04-29,North,500.0,April,Medium
3,Charlie,Laptop,2.0,250.0,2024-01-08,Unknown,500.0,January,Medium
4,Eve,Laptop,2.0,750.0,2024-01-07,West,1500.0,January,High
5,Eve,Tablet,3.0,500.0,2024-03-07,South,1500.0,March,High
7,Charlie,Monitor,2.0,750.0,2024-02-02,West,1500.0,February,High
8,Charlie,Laptop,3.0,500.0,2024-02-17,Unknown,1500.0,February,High
9,Charlie,Monitor,1.0,750.0,2024-03-16,West,750.0,March,Medium
10,Eve,Monitor,1.0,500.0,2024-02-28,North,500.0,February,Medium
11,Unknown,Monitor,3.0,750.0,2024-04-24,West,2250.0,April,High
12,Charlie,Tablet,2.0,750.0,2024-03-26,East,1500.0,March,High
13,Frank,Tablet,1.0,750.0,2024-04-28,West,750.0,April,Medium
14,Eve,Tablet,1.0,500.0,2024-01-22,South,500.0,January,Medium
15,Bob,Laptop,1.0,500.0,2024-04-19,South,500.0,April,Medium
16,Diana,Monitor,3.0,750.0,2024-01-01,East,2250.0,January,High
17,Frank,Tablet,2.0,500.0,2024-02-07,North,1000.0,February,Medium
18,Frank,Tablet,1.0,250.0,2024-04-11,South,250.0,April,Low
19,Bob,Laptop,1.0,250.0,2024-04-18,Unknown,250.0,April,Low
20,Diana,Tablet,1.0,500.0,2024-02-20,South,500.0,February,Medium
21,Eve,Laptop,1.0,500.0,2024-02-23,South,500.0,February,Medium
22,Alice,Phone,3.0,750.0,2024-01-08,North,2250.0,January,High
23,Diana,Tablet,3.0,500.0,2024-01-27,West,1500.0,January,High
24,Bob,Phone,2.0,500.0,2024-01-27,South,1000.0,January,Medium
25,Frank,Laptop,1.0,250.0,2024-04-07,East,250.0,April,Low
26,Eve,Monitor,3.0,750.0,2024-01-21,West,2250.0,January,High
27,Diana,Tablet,1.0,500.0,2024-01-30,Unknown,500.0,January,Medium
28,Alice,Laptop,2.0,250.0,2024-04-06,North,500.0,April,Medium
29,Alice,Monitor,1.0,250.0,2024-01-28,Unknown,250.0,January,Low
